WO_ID,Equipment_ID,Equipment_Name,Equipment_Type,Maintenance_Type,Activity_Description,Start_DateTime,Finish_DateTime,Downtime_Hours,Status
WO-0116,EQ-005,Cooling Tower Fan,Fan,PM,Filter Replacement,2025-01-01 00:00,2025-01-01 01:12,1.2,Closed
WO-0023,EQ-004,Air Compressor Unit B,Compressor,CM,Motor Overheat,2025-01-02 00:00,2025-01-02 05:48,5.8,Closed
WO-0151,EQ-005,Cooling Tower Fan,Fan,PM,Cleaning & Tightening,2025-01-06 00:00,2025-01-06 02:54,2.9,Closed
WO-0071,EQ-009,Forklift Electric 01,Material Handling,CM,Belt Slippage,2025-01-07 00:00,2025-01-07 15:00,15.0,Closed
WO-0002,EQ-007,Chiller Unit 1,Chiller,CM,Seal Damage,2025-01-09 00:00,2025-01-09 01:18,1.3,Closed
WO-0034,EQ-010,Forklift Diesel 02,Material Handling,CM,Leakage,2025-01-11 00:00,2025-01-11 08:42,8.7,Closed
WO-0079,EQ-013,Genset Backup Power,Generator,CM,Bearing Failure,2025-01-11 00:00,2025-01-11 07:00,7.0,Closed
WO-0103,EQ-010,Forklift Diesel 02,Material Handling,CM,Belt Slippage,2025-01-11 00:00,2025-01-11 08:12,8.2,Closed
WO-0153,EQ-013,Genset Backup Power,Generator,PM,Cleaning & Tightening,2025-01-13 00:00,2025-01-13 02:48,2.8,Closed
WO-0026,EQ-008,Chiller Unit 2,Chiller,CM,Motor Overheat,2025-01-14 00:00,2025-01-14 04:48,4.8,Closed
WO-0010,EQ-014,Hydraulic Press 1,Press,CM,Hose Burst,2025-01-15 00:00,2025-01-15 00:36,0.6,Closed
WO-0014,EQ-010,Forklift Diesel 02,Material Handling,CM,Motor Overheat,2025-01-17 00:00,2025-01-17 01:48,1.8,Closed
WO-0093,EQ-014,Hydraulic Press 1,Press,CM,Hose Burst,2025-01-17 00:00,2025-01-17 00:48,0.8,Closed
WO-0053,EQ-007,Chiller Unit 1,Chiller,CM,Electrical Fault,2025-01-18 00:00,2025-01-18 03:48,3.8,Closed
WO-0074,EQ-011,Packing Machine Line 3,Packing Machine,CM,Bearing Failure,2025-01-18 00:00,2025-01-18 02:48,2.8,Closed
WO-0065,EQ-008,Chiller Unit 2,Chiller,CM,Belt Slippage,2025-01-20 00:00,2025-01-20 03:00,3.0,Closed
WO-0129,EQ-003,Air Compressor Unit A,Compressor,PM,Filter Replacement,2025-01-20 00:00,2025-01-20 01:42,1.7,Closed
WO-0094,EQ-005,Cooling Tower Fan,Fan,CM,Seal Damage,2025-01-22 00:00,2025-01-22 00:54,0.9,Closed
WO-0135,EQ-004,Air Compressor Unit B,Compressor,PM,Routine Lubrication,2025-01-24 00:00,2025-01-24 01:36,1.6,Closed
WO-0169,EQ-006,Boiler Feed Pump,Pump,PM,Routine Lubrication,2025-01-24 00:00,2025-01-24 02:30,2.5,Closed
WO-0158,EQ-011,Packing Machine Line 3,Packing Machine,PM,Cleaning & Tightening,2025-01-25 00:00,2025-01-25 02:48,2.8,Closed
